Namespace(batchSize=100, beta1=0.5, cuda=True, dirCheckpoints='/nfs/bigdisk/bsonawane/LightTransfer_Exp/Latent_Space/2_CNN_64//checkpoints/dae-2', dirDataroot='/nfs/bigmind/add_ssd/zhshu/data/Multipie/crops14/', dirImageoutput='/nfs/bigdisk/bsonawane/LightTransfer_Exp/Latent_Space/2_CNN_64//images/train', dirTestingoutput='/nfs/bigdisk/bsonawane/LightTransfer_Exp/Latent_Space/2_CNN_64//images/test', epoch_iter=600, f='', gpu_ids=0, idim=32, imgSize=64, location=0, lr=0.0002, manualSeed=None, modelPath='', nc=3, ndf=32, ngf=32, ngpu=1, niter=25, sdim=16, tdim=16, useDense=True, use_celeba=False, use_dropout=0, use_gpu=True, wdim=128, workers=8, zdim=128)
Random Seed:  9623
No previous model found, initializing model weight.
0
Loading Dataset
Path: ['/nfs/bigmind/add_ssd/zhshu/data/Multipie/crops14/session01_crops14']
Loading: /nfs/bigmind/add_ssd/zhshu/data/Multipie/crops14/session01_crops14 session01
Session:  session01
50190
torch.Size([64, 64, 3]) torch.Size([64, 64, 3])
Path: ['/nfs/bigmind/add_ssd/zhshu/data/Multipie/crops14/session_test_crops14']
Loading: /nfs/bigmind/add_ssd/zhshu/data/Multipie/crops14/session_test_crops14 session_test
Session:  session_test
2100
torch.Size([64, 64, 3]) torch.Size([64, 64, 3])
Dataset Loaded
Log done
Iteration[37] loss -- all:  0.1936 .. recon:  0.1338 .. tvw: 0.0533 .. br: 0.0044 .. intr_s: 0.0021 .. 
Iteration[38] loss -- all:  0.1915 .. recon:  0.1316 .. tvw: 0.0533 .. br: 0.0044 .. intr_s: 0.0022 .. 
Iteration[39] loss -- all:  0.1857 .. recon:  0.1253 .. tvw: 0.0537 .. br: 0.0044 .. intr_s: 0.0023 .. 
Iteration[40] loss -- all:  0.1848 .. recon:  0.1244 .. tvw: 0.0536 .. br: 0.0044 .. intr_s: 0.0024 .. 
Iteration[41] loss -- all:  0.1842 .. recon:  0.1244 .. tvw: 0.0532 .. br: 0.0044 .. intr_s: 0.0022 .. 
Iteration[42] loss -- all:  0.1903 .. recon:  0.1307 .. tvw: 0.0532 .. br: 0.0044 .. intr_s: 0.0021 .. 
Iteration[43] loss -- all:  0.1821 .. recon:  0.1223 .. tvw: 0.0535 .. br: 0.0044 .. intr_s: 0.0019 .. 
Iteration[44] loss -- all:  0.1759 .. recon:  0.1160 .. tvw: 0.0535 .. br: 0.0044 .. intr_s: 0.0019 .. 
Iteration[45] loss -- all:  0.1804 .. recon:  0.1200 .. tvw: 0.0542 .. br: 0.0044 .. intr_s: 0.0018 .. 
Iteration[46] loss -- all:  0.1757 .. recon:  0.1162 .. tvw: 0.0534 .. br: 0.0044 .. intr_s: 0.0018 .. 
Iteration[47] loss -- all:  0.1747 .. recon:  0.1157 .. tvw: 0.0530 .. br: 0.0044 .. intr_s: 0.0016 .. 
Iteration[48] loss -- all:  0.1737 .. recon:  0.1145 .. tvw: 0.0529 .. br: 0.0044 .. intr_s: 0.0018 .. 
Iteration[49] loss -- all:  0.1755 .. recon:  0.1165 .. tvw: 0.0531 .. br: 0.0044 .. intr_s: 0.0015 .. 
Iteration[50] loss -- all:  0.1686 .. recon:  0.1094 .. tvw: 0.0532 .. br: 0.0044 .. intr_s: 0.0016 .. 
Iteration[51] loss -- all:  0.1777 .. recon:  0.1188 .. tvw: 0.0529 .. br: 0.0044 .. intr_s: 0.0016 .. 
Iteration[52] loss -- all:  0.1753 .. recon:  0.1166 .. tvw: 0.0528 .. br: 0.0044 .. intr_s: 0.0015 .. 
